booking_id,booking_date,checkin_date,checkout_date,nights_stayed,adults,children,room_type,booking_channel,country,price_per_night,special_requests,is_canceled,previous_stays,satisfaction_score
BK000027,2023-02-12,2023-03-26,2023-04-07,12,2,0,Standard,Travel_Agent,NL,125.42,1,0,0,4.2
BK000028,2024-11-18,2025-04-18,2025-04-24,6,2,0,Standard,OTA,US,131.85,3,0,0,3.3
BK000029,2023-10-01,2023-12-15,2023-12-23,8,3,0,Standard,OTA,US,175.28,0,0,0,3.7
BK000030,2025-08-10,2026-01-02,2026-01-14,12,3,1,Suite,OTA,UK,361.74,0,0,0,4.9
BK000031,2023-12-09,2024-02-04,2024-02-10,6,3,0,Standard,Direct,DE,123.49,0,0,0,4
BK000032,2022-04-27,2022-08-10,2022-08-21,11,1,0,Standard,Travel_Agent,BE,186.55,0,1,0,0
BK000033,2023-02-01,2023-04-20,2023-04-26,6,2,0,Executive,Corporate,NL,388.72,3,0,6,3.9
BK000034,2023-10-25,2023-12-16,2023-12-23,7,3,0,Executive,OTA,CH,537.15,2,0,0,4.1
BK000035,2024-02-22,2024-08-17,2024-08-28,11,3,1,Deluxe,OTA,NL,256.58,2,0,0,3.5
BK000036,2025-09-15,2026-01-31,2026-02-12,12,3,0,Suite,Travel_Agent,CA,355.38,0,1,0,0
BK000037,2025-10-30,2025-12-26,2026-01-07,12,1,0,Suite,OTA,BE,381.1,0,1,2,0
BK000038,2023-07-16,2023-07-28,2023-07-29,1,3,0,Standard,Corporate,CA,156.48,2,0,0,4.3
BK000039,2022-09-16,2022-11-17,2022-11-23,6,1,0,Executive,Corporate,NL,372.7,4,1,0,0
BK000040,2022-03-11,2022-07-25,2022-07-27,2,2,0,Executive,Direct,BE,605.44,0,0,4,3.9
BK000041,2025-08-17,2026-01-02,2026-01-13,11,1,0,Standard,OTA,IT,171.85,4,0,0,3.9
BK000042,2024-06-24,2024-07-15,2024-07-28,13,1,0,Suite,Direct,BE,350.29,0,0,0,4.8
BK000043,2025-09-12,2025-12-31,2026-01-02,2,1,2,Standard,Direct,CH,156.2,3,0,0,4.3
BK000044,2024-06-08,2024-10-31,2024-11-08,8,3,1,Standard,OTA,CA,107.4,3,0,0,5
BK000045,2024-03-19,2024-03-20,2024-03-24,4,3,0,Standard,Corporate,CH,103.18,0,0,0,3.6
BK000046,2022-06-01,2022-11-07,2022-11-15,8,2,0,Suite,Direct,BE,243.02,0,0,3,5
BK000047,2023-05-23,2023-11-11,2023-11-17,6,1,0,Standard,Corporate,FR,108.52,0,0,0,3.8
BK000048,2023-07-26,2023-08-28,2023-08-29,1,1,0,Deluxe,Corporate,NL,250.68,0,1,7,0
BK000049,2023-02-25,2023-03-29,2023-04-02,4,1,0,Executive,Travel_Agent,FR,405.49,3,0,0,4.6
BK000050,2024-11-14,2024-11-20,2024-11-27,7,2,0,Executive,Travel_Agent,DE,373.68,0,0,0,4.2
BK000051,2024-01-29,2024-07-05,2024-07-09,4,1,0,Deluxe,Corporate,FR,256.26,0,0,6,4.8
BK000052,2022-11-13,2023-03-01,2023-03-14,13,1,2,Deluxe,Corporate,CH,198.28,3,0,7,3.4
BK000053,2025-11-02,2026-03-05,2026-03-13,8,2,0,Standard,Travel_Agent,DE,135.61,4,0,3,4.8
BK000054,2025-04-09,2025-07-17,2025-07-26,9,3,2,Executive,Corporate,US,543.16,2,1,0,0
BK000055,2022-02-18,2022-04-27,2022-05-09,12,2,0,Standard,Travel_Agent,UK,110.21,3,0,0,3.8
BK000056,2025-11-18,2026-03-27,2026-04-09,13,3,0,Standard,Corporate,IT,117.18,1,1,0,0
BK000057,2022-06-14,2022-09-27,2022-09-28,1,1,1,Suite,Direct,FR,448.94,0,0,4,4.2
BK000058,2025-02-11,2025-03-02,2025-03-08,6,3,1,Executive,Corporate,CH,364.17,3,0,0,4.8
BK000059,2022-03-07,2022-05-26,2022-06-04,9,2,0,Standard,Travel_Agent,FR,120.47,0,0,0,3.2
BK000060,2025-08-29,2026-01-26,2026-02-03,8,1,0,Executive,Travel_Agent,FR,556.43,0,0,7,4.6
BK000061,2022-07-27,2022-12-05,2022-12-17,12,2,0,Standard,OTA,DE,158.38,0,0,0,4.2
BK000062,2024-05-21,2024-10-10,2024-10-17,7,1,0,Standard,Direct,DE,134.29,0,0,0,4.6
BK000063,2024-03-26,2024-04-29,2024-05-07,8,2,0,Executive,Travel_Agent,NL,384.89,2,0,1,4.4
BK000064,2024-06-29,2024-07-06,2024-07-09,3,2,0,Standard,Corporate,ES,145.53,0,0,7,3.8
BK000065,2023-11-04,2023-12-11,2023-12-21,10,2,0,Standard,Direct,ES,176.22,1,0,4,5
BK000066,2025-05-03,2025-06-30,2025-07-05,5,3,0,Executive,Direct,DE,485.33,1,0,6,4.7
BK000067,2024-07-02,2024-08-20,2024-09-01,12,1,0,Suite,Corporate,FR,348.02,0,0,2,3.8
BK000068,2023-07-14,2023-09-09,2023-09-19,10,3,0,Executive,Direct,DE,452.97,0,0,0,4.9
BK000069,2025-02-20,2025-04-18,2025-04-25,7,2,0,Standard,Travel_Agent,US,121.42,0,1,0,0
BK000070,2025-03-27,2025-08-22,2025-09-02,11,3,1,Suite,OTA,NL,437.99,2,0,2,5
BK000071,2023-11-29,2024-04-14,2024-04-19,5,3,0,Standard,Direct,CA,132.46,0,0,0,4.7
BK000072,2023-02-23,2023-04-21,2023-04-29,8,1,2,Suite,OTA,NL,278.13,0,0,1,5
BK000073,2022-06-29,2022-08-16,2022-08-29,13,1,0,Deluxe,Direct,CH,241.5,0,0,0,4.9
BK000074,2025-11-01,2025-11-13,2025-11-15,2,1,0,Deluxe,OTA,CH,200.3,0,0,0,3.6
BK000075,2022-07-12,2022-09-18,2022-09-21,3,2,0,Executive,Travel_Agent,ES,577.6,0,0,0,5
BK000076,2022-03-07,2022-07-06,2022-07-19,13,1,0,Suite,Direct,NL,397.89,2,0,3,4.8
BK000077,2022-05-16,2022-09-27,2022-10-04,7,2,2,Deluxe,Direct,CA,217.36,4,1,0,0
BK000078,2022-12-11,2022-12-30,2022-12-31,1,3,1,Deluxe,Direct,CH,258.72,0,0,0,4.3
BK000079,2022-11-23,2023-04-07,2023-04-08,1,3,0,Executive,Direct,US,422.82,0,0,2,4.5
BK000080,2024-01-31,2024-07-27,2024-08-02,6,2,0,Deluxe,Travel_Agent,NL,275.54,1,1,4,0
BK000081,2023-03-15,2023-05-31,2023-06-05,5,1,2,Executive,OTA,CA,399,0,0,4,4.4
BK000082,2022-04-20,2022-08-28,2022-08-29,1,3,0,Suite,Direct,FR,449.97,4,0,5,4.9
BK000083,2024-02-19,2024-07-24,2024-07-27,3,1,2,Deluxe,Direct,ES,239.88,0,0,0,4.7
BK000084,2023-03-04,2023-08-19,2023-08-30,11,3,0,Executive,Travel_Agent,NL,606.42,0,0,7,4.6
BK000085,2022-10-20,2022-12-18,2022-12-27,9,2,0,Standard,Travel_Agent,IT,136.76,0,0,0,4.3
BK000086,2025-11-15,2025-12-21,2026-01-03,13,1,0,Suite,OTA,DE,357.4,3,0,0,4.2
BK000087,2024-03-01,2024-08-04,2024-08-07,3,1,1,Suite,OTA,US,339.42,3,0,4,3.9
BK000088,2023-03-09,2023-07-21,2023-07-29,8,3,1,Standard,Travel_Agent,ES,151.72,2,0,0,3.5
BK000089,2024-01-16,2024-02-26,2024-03-08,11,1,0,Deluxe,OTA,ES,161.94,2,0,0,3.3
BK000090,2023-02-01,2023-04-27,2023-04-28,1,1,1,Deluxe,OTA,NL,185.41,3,0,4,4.4
BK000091,2024-10-09,2024-11-04,2024-11-15,11,1,0,Suite,Direct,FR,251.04,4,0,0,4.1
BK000092,2023-01-01,2023-04-01,2023-04-13,12,2,0,Standard,Travel_Agent,ES,105.64,3,0,4,3.4
BK000093,2024-03-01,2024-07-08,2024-07-18,10,2,0,Executive,Travel_Agent,NL,509.37,3,0,6,4.6
BK000094,2024-02-19,2024-02-25,2024-02-28,3,1,0,Standard,Corporate,NL,115.28,0,0,0,4.9
BK000095,2023-01-27,2023-06-08,2023-06-19,11,2,0,Suite,OTA,UK,358.1,2,0,0,5
BK000096,2023-03-08,2023-07-28,2023-08-07,10,1,0,Deluxe,OTA,CH,280.66,4,0,0,3.6
BK000097,2024-08-09,2024-11-10,2024-11-12,2,1,0,Deluxe,Corporate,IT,184.79,0,0,0,3.7
BK000098,2024-12-02,2025-05-14,2025-05-24,10,1,2,Executive,OTA,BE,396.23,0,0,5,4.4
BK000099,2022-08-14,2022-09-16,2022-09-25,9,3,0,Suite,Corporate,UK,402.55,0,0,0,3.6
BK000100,2023-05-17,2023-10-21,2023-10-24,3,1,0,Executive,Direct,NL,430.94,0,0,0,4.6
BK000101,2022-05-04,2022-06-15,2022-06-27,12,1,0,Suite,Corporate,NL,422.51,0,0,0,3.8
BK000102,2025-11-12,2026-05-08,2026-05-20,12,2,0,Standard,Direct,DE,108.85,0,0,0,4.8
BK000103,2025-02-05,2025-03-25,2025-04-02,8,1,0,Standard,OTA,BE,108.99,0,0,0,4.8
BK000104,2023-04-16,2023-05-03,2023-05-11,8,1,0,Executive,Corporate,CA,399.41,0,0,0,4.2
BK000105,2024-10-19,2024-11-24,2024-12-03,9,3,0,Standard,Corporate,CA,129.46,0,0,0,4.2
BK000106,2025-04-28,2025-09-13,2025-09-17,4,2,0,Standard,Corporate,FR,172.04,0,0,0,4.1
BK000107,2024-01-29,2024-05-12,2024-05-18,6,2,0,Standard,Travel_Agent,US,133.44,2,0,4,3.4
BK000108,2024-03-26,2024-06-05,2024-06-08,3,3,0,Standard,Travel_Agent,CA,192.58,0,0,0,3.8
BK000109,2024-08-30,2025-01-23,2025-02-02,10,1,1,Deluxe,OTA,CA,268.72,0,0,0,4.3
BK000110,2025-01-05,2025-07-04,2025-07-15,11,3,0,Standard,OTA,BE,175.67,0,0,5,4.5
BK000111,2024-12-30,2025-06-24,2025-07-06,12,1,2,Suite,Travel_Agent,US,335.57,4,0,0,5
BK000112,2023-01-31,2023-02-24,2023-02-26,2,2,0,Standard,OTA,UK,125.76,2,0,0,4.9
BK000113,2022-08-11,2022-11-30,2022-12-09,9,1,0,Deluxe,Corporate,US,205.03,0,1,0,0
BK000114,2022-04-26,2022-07-25,2022-07-31,6,2,0,Executive,Travel_Agent,NL,609.83,0,0,5,4.6
BK000115,2024-08-05,2024-08-13,2024-08-24,11,1,0,Suite,OTA,CH,390.76,0,0,0,4.1
BK000116,2023-07-05,2023-10-02,2023-10-11,9,1,0,Deluxe,Corporate,NL,185.24,0,0,0,3.4
BK000117,2022-08-23,2022-10-23,2022-10-29,6,3,0,Suite,Travel_Agent,DE,290,0,0,0,5
BK000118,2024-07-27,2024-09-04,2024-09-13,9,3,0,Suite,OTA,NL,351.03,4,0,0,4
BK000119,2024-10-17,2024-12-31,2025-01-10,10,1,1,Suite,Travel_Agent,FR,376.06,3,0,0,4.7
BK000120,2022-08-29,2022-11-27,2022-11-28,1,1,0,Suite,Travel_Agent,BE,319.3,1,0,0,5
BK000121,2023-04-07,2023-06-20,2023-06-24,4,1,2,Suite,Corporate,UK,347.47,0,0,7,5
BK000122,2024-06-15,2024-06-28,2024-06-30,2,2,1,Standard,Travel_Agent,NL,152.38,0,0,0,3.7
BK000123,2025-01-21,2025-06-01,2025-06-03,2,3,0,Deluxe,Corporate,ES,258.12,0,0,6,3.4
BK000124,2023-08-18,2024-01-22,2024-02-02,11,1,1,Executive,Direct,NL,430.02,0,1,0,0
BK000125,2023-01-06,2023-04-29,2023-05-04,5,3,0,Standard,OTA,ES,118.08,0,0,0,4.1
BK000126,2025-04-27,2025-07-31,2025-08-04,4,1,0,Deluxe,Corporate,IT,261.97,0,0,4,4.1
BK000127,2025-07-27,2025-08-27,2025-08-31,4,3,0,Suite,OTA,NL,338.11,0,0,5,4.3
BK000128,2025-05-27,2025-09-25,2025-10-03,8,1,0,Suite,Travel_Agent,NL,343.01,0,0,4,5
BK000129,2025-04-13,2025-06-23,2025-07-04,11,3,0,Executive,Travel_Agent,BE,500.52,0,0,6,5
BK000130,2022-04-08,2022-06-28,2022-07-09,11,2,1,Executive,OTA,US,516.42,0,0,0,4.2
BK000131,2025-02-03,2025-07-09,2025-07-12,3,2,0,Executive,Corporate,BE,533.15,1,0,0,4.2
BK000132,2024-06-14,2024-07-07,2024-07-17,10,2,2,Suite,Travel_Agent,BE,416.88,3,1,0,0
BK000133,2023-04-20,2023-09-18,2023-10-01,13,3,0,Standard,Travel_Agent,BE,185.21,0,0,0,3.4
BK000134,2023-05-25,2023-07-15,2023-07-16,1,1,1,Deluxe,Corporate,US,257.56,2,0,0,3.3
BK000135,2024-07-16,2024-08-29,2024-08-30,1,3,0,Standard,OTA,UK,149.2,0,0,7,5
BK000136,2022-09-14,2022-11-28,2022-12-09,11,3,0,Suite,Corporate,IT,269.3,3,1,0,0
BK000137,2025-07-12,2025-08-03,2025-08-12,9,1,0,Suite,Travel_Agent,NL,432.05,3,0,0,5
BK000138,2025-02-01,2025-06-10,2025-06-20,10,2,0,Deluxe,Travel_Agent,IT,239.32,0,0,0,3.3
BK000139,2022-10-12,2022-12-31,2023-01-10,10,1,0,Deluxe,Corporate,FR,268.36,0,0,0,4.3
BK000140,2022-02-02,2022-05-08,2022-05-17,9,2,0,Deluxe,OTA,BE,198.4,0,0,0,4.4
BK000141,2025-03-17,2025-07-17,2025-07-30,13,2,0,Standard,Direct,DE,190.66,3,0,0,4.6
BK000142,2022-06-15,2022-10-27,2022-10-29,2,2,0,Deluxe,OTA,UK,172.35,3,0,0,4.5
BK000143,2023-11-22,2024-02-11,2024-02-23,12,3,2,Executive,Direct,CA,428.96,0,0,0,4.7
BK000144,2023-05-21,2023-11-09,2023-11-17,8,2,0,Suite,Direct,IT,276.39,0,0,0,5
BK000145,2024-07-19,2024-12-22,2024-12-29,7,1,0,Executive,Corporate,UK,430.48,0,0,6,5
BK000146,2022-11-28,2023-02-26,2023-03-04,6,2,0,Standard,OTA,DE,117.19,1,0,0,3.4
BK000147,2024-07-28,2024-12-17,2024-12-28,11,1,1,Suite,Corporate,UK,393.79,0,0,0,4.1
BK000148,2023-08-18,2023-09-18,2023-10-01,13,2,0,Deluxe,OTA,US,279.08,0,0,7,3.7
BK000149,2025-01-15,2025-06-06,2025-06-19,13,1,0,Standard,Corporate,IT,158.49,4,0,0,4.2
BK000150,2023-02-08,2023-05-15,2023-05-27,12,2,0,Executive,Direct,UK,406.95,2,0,0,3.7
BK000151,2025-06-11,2025-10-20,2025-10-27,7,3,0,Suite,Travel_Agent,CA,272.9,0,1,0,0
BK000152,2025-07-07,2025-11-16,2025-11-23,7,3,0,Standard,Direct,IT,102.49,1,0,0,5
BK000153,2024-02-09,2024-05-14,2024-05-24,10,3,0,Standard,Corporate,NL,127.41,0,0,0,3.6
BK000154,2023-08-23,2023-12-05,2023-12-14,9,3,0,Suite,OTA,US,338.18,4,0,0,3.8
BK000155,2023-11-09,2024-01-29,2024-01-30,1,1,0,Deluxe,Travel_Agent,DE,242.15,0,0,0,4.1
BK000156,2022-03-05,2022-08-30,2022-09-01,2,2,0,Suite,Corporate,IT,362.08,1,0,0,4.4
BK000157,2024-10-24,2025-01-10,2025-01-16,6,3,0,Suite,Travel_Agent,CH,393.85,0,1,0,0
BK000158,2024-04-15,2024-06-12,2024-06-13,1,1,1,Standard,OTA,NL,156.51,0,0,0,4.4
BK000159,2024-06-22,2024-08-11,2024-08-21,10,3,0,Suite,OTA,NL,350.85,1,0,0,4.7
BK000160,2023-09-25,2023-11-01,2023-11-11,10,2,2,Suite,Travel_Agent,CH,304.99,0,0,0,4.4
BK000161,2024-11-25,2024-11-29,2024-12-05,6,1,0,Deluxe,Direct,ES,159.66,0,0,0,4.5
BK000162,2022-12-03,2023-01-20,2023-01-27,7,3,0,Standard,Travel_Agent,CA,170.36,0,0,0,4
BK000163,2022-11-13,2023-02-16,2023-02-28,12,3,0,Standard,Direct,FR,125.9,0,0,4,3.7
BK000164,2024-04-07,2024-07-01,2024-07-12,11,1,0,Suite,Direct,FR,384.35,0,0,0,4.4
BK000165,2023-09-06,2023-10-28,2023-10-29,1,2,0,Executive,OTA,BE,371.28,0,0,2,3.8
BK000166,2022-04-04,2022-09-13,2022-09-23,10,2,0,Executive,OTA,CA,600.4,0,0,0,5
BK000167,2025-05-16,2025-07-08,2025-07-18,10,1,0,Executive,OTA,ES,546.69,1,0,0,4.2
BK000168,2025-05-03,2025-07-09,2025-07-15,6,1,2,Suite,OTA,ES,413.65,0,1,0,0
BK000169,2023-07-25,2023-11-02,2023-11-11,9,1,0,Standard,Direct,ES,109.43,0,0,0,3.9
BK000170,2025-04-04,2025-07-14,2025-07-23,9,2,0,Suite,Corporate,BE,431.17,0,0,0,5
BK000171,2023-02-28,2023-05-09,2023-05-20,11,2,0,Standard,Direct,CH,106,0,0,0,4.1
BK000172,2023-09-20,2023-11-28,2023-12-10,12,3,0,Executive,OTA,ES,432.41,0,0,0,3.9
BK000173,2022-06-19,2022-11-15,2022-11-16,1,1,1,Standard,OTA,IT,119.53,0,0,6,5
BK000174,2023-05-10,2023-10-16,2023-10-21,5,1,0,Suite,OTA,DE,290.11,1,0,0,3.6
BK000175,2023-05-26,2023-07-26,2023-08-05,10,2,0,Executive,Corporate,DE,478.29,1,0,0,4.3
BK000176,2022-12-17,2023-05-13,2023-05-23,10,3,1,Suite,Corporate,DE,280.85,0,0,0,4.7
BK000177,2023-05-14,2023-07-20,2023-07-25,5,3,1,Standard,OTA,CA,176.7,3,0,0,3.3
BK000178,2025-10-07,2026-01-21,2026-01-25,4,2,0,Deluxe,Travel_Agent,US,252.69,1,0,0,4.5
BK000179,2025-05-10,2025-06-01,2025-06-14,13,3,0,Executive,Corporate,UK,501.5,0,0,0,3.6
BK000180,2025-06-19,2025-09-17,2025-09-27,10,3,2,Standard,Direct,ES,154.95,0,1,0,0
BK000181,2025-06-10,2025-11-01,2025-11-02,1,2,2,Deluxe,Corporate,US,153.16,1,0,0,3.5
BK000182,2024-09-08,2024-09-28,2024-10-07,9,3,0,Standard,Travel_Agent,US,143.75,3,0,0,4.9
BK000183,2025-06-05,2025-09-18,2025-09-21,3,3,1,Deluxe,OTA,IT,230.7,2,0,0,4.3
BK000184,2024-05-03,2024-07-06,2024-07-19,13,3,0,Suite,Corporate,CH,447.56,0,0,6,5
BK000185,2022-03-06,2022-03-25,2022-03-28,3,3,0,Standard,Corporate,NL,125.29,0,0,0,4.8
BK000186,2023-05-07,2023-07-08,2023-07-18,10,3,0,Standard,Direct,CA,173.2,2,1,0,0
BK000187,2025-05-07,2025-10-22,2025-10-30,8,3,1,Suite,Corporate,FR,299.25,0,1,0,0
BK000188,2023-12-09,2024-06-02,2024-06-11,9,3,1,Suite,Corporate,DE,416.01,0,0,0,4.1
BK000189,2022-06-13,2022-06-25,2022-06-30,5,3,0,Standard,Travel_Agent,ES,146.3,3,0,1,3.9
BK000190,2025-05-17,2025-07-27,2025-07-29,2,2,0,Deluxe,Travel_Agent,IT,218.25,0,0,3,3.8
BK000191,2022-09-17,2023-01-03,2023-01-12,9,1,2,Executive,Corporate,CA,477.03,2,0,6,4.8
BK000192,2023-01-25,2023-03-31,2023-04-05,5,2,0,Standard,Direct,DE,132.94,2,0,1,4.8
BK000193,2024-12-05,2025-05-17,2025-05-29,12,1,0,Standard,OTA,ES,106.85,0,0,0,4
BK000194,2022-02-22,2022-05-17,2022-05-20,3,2,1,Standard,Direct,NL,130.27,0,1,0,0
BK000195,2022-11-17,2023-01-29,2023-02-07,9,2,0,Executive,Direct,CA,563.47,0,0,3,3.9
BK000196,2025-09-08,2025-11-24,2025-12-05,11,3,0,Executive,Direct,ES,356.17,2,0,0,3.8
BK000197,2023-05-13,2023-11-05,2023-11-11,6,2,2,Standard,OTA,DE,126.51,0,0,6,3.9
BK000198,2022-02-16,2022-06-05,2022-06-14,9,1,0,Standard,OTA,CA,172.9,0,0,0,4.1
BK000199,2024-04-07,2024-06-17,2024-06-25,8,3,0,Deluxe,Travel_Agent,FR,236.63,0,0,2,3.9
BK000200,2025-11-25,2026-03-30,2026-04-09,10,1,0,Deluxe,Travel_Agent,NL,198.45,0,0,2,4.4
BK000201,2022-05-15,2022-10-21,2022-10-23,2,1,0,Suite,Travel_Agent,ES,295.91,4,0,7,3.9
BK000202,2025-09-27,2025-10-10,2025-10-17,7,2,0,Standard,Travel_Agent,DE,130.55,0,0,3,4.4
BK000203,2024-03-31,2024-07-16,2024-07-20,4,1,0,Standard,Corporate,ES,171.25,4,0,5,5
BK000204,2022-10-17,2023-02-19,2023-02-21,2,2,0,Deluxe,Travel_Agent,IT,196.24,0,0,0,4.4
BK000205,2024-01-09,2024-05-05,2024-05-14,9,3,2,Suite,OTA,NL,238.57,3,0,0,3.8
BK000206,2023-07-04,2023-12-28,2024-01-03,6,2,1,Deluxe,Corporate,CH,224.01,0,1,6,0
BK000207,2025-05-16,2025-08-01,2025-08-08,7,3,0,Executive,Corporate,CH,558.06,2,0,0,4.7
BK000208,2024-02-05,2024-03-14,2024-03-23,9,3,0,Deluxe,OTA,FR,195,0,0,0,3.5
BK000209,2022-12-26,2023-01-04,2023-01-12,8,3,0,Suite,Direct,IT,413.01,0,0,0,4.6
BK000210,2022-05-29,2022-10-20,2022-10-29,9,2,0,Standard,Travel_Agent,UK,126.82,0,0,0,3.5
BK000211,2022-04-14,2022-07-12,2022-07-23,11,2,0,Deluxe,Travel_Agent,US,270.6,0,0,4,5
BK000212,2023-06-24,2023-10-16,2023-10-17,1,1,0,Deluxe,OTA,US,154.54,0,0,0,3.8
BK000213,2023-03-20,2023-03-22,2023-03-23,1,3,0,Standard,Corporate,UK,126.8,0,0,0,4
BK000214,2024-08-07,2024-11-06,2024-11-14,8,3,0,Executive,OTA,BE,423.47,0,0,0,4.1
BK000215,2023-06-10,2023-10-06,2023-10-08,2,3,0,Suite,OTA,CH,277.06,0,0,0,3.5
BK000216,2023-06-05,2023-07-16,2023-07-19,3,1,0,Deluxe,Travel_Agent,NL,281.05,1,0,0,4.1
BK000217,2025-02-24,2025-06-23,2025-07-06,13,3,1,Standard,Travel_Agent,UK,182.24,0,0,5,4.7
BK000218,2025-03-01,2025-06-06,2025-06-08,2,3,0,Suite,Corporate,UK,395.4,2,0,0,4.5
BK000219,2023-10-21,2024-01-15,2024-01-24,9,3,0,Suite,Travel_Agent,NL,395.25,0,1,0,0
BK000220,2023-03-06,2023-08-28,2023-08-31,3,3,0,Deluxe,Corporate,UK,282.21,0,0,0,3.7
BK000221,2025-01-28,2025-05-16,2025-05-20,4,1,0,Standard,OTA,ES,122.28,0,0,0,4.2
BK000222,2022-04-17,2022-08-30,2022-09-01,2,3,0,Suite,Travel_Agent,NL,337.95,0,0,0,4.9
BK000223,2023-12-05,2024-04-10,2024-04-12,2,2,0,Executive,Travel_Agent,IT,424.71,0,0,0,3.5
BK000224,2023-09-06,2023-10-11,2023-10-21,10,1,0,Deluxe,Corporate,DE,180.04,0,0,0,3.2
BK000225,2022-06-01,2022-11-09,2022-11-17,8,1,0,Deluxe,Direct,NL,188.58,1,0,1,4.6
BK000226,2025-01-14,2025-03-04,2025-03-15,11,1,0,Deluxe,Corporate,IT,191.08,0,0,0,3.4
BK000227,2024-10-16,2025-01-08,2025-01-12,4,1,0,Suite,Direct,IT,318.36,0,0,0,4.8
BK000228,2024-06-10,2024-06-15,2024-06-24,9,1,0,Executive,Direct,IT,592.26,3,1,0,0
BK000229,2022-03-01,2022-06-12,2022-06-13,1,3,2,Deluxe,Travel_Agent,BE,267.47,0,1,0,0
BK000230,2022-11-23,2023-04-22,2023-04-25,3,1,0,Executive,OTA,IT,383.14,3,0,6,5
BK000231,2024-03-16,2024-06-05,2024-06-16,11,2,0,Standard,Direct,UK,146.83,4,0,0,4
BK000232,2025-04-21,2025-07-02,2025-07-08,6,2,0,Deluxe,Corporate,DE,242.67,1,0,0,5
BK000233,2023-04-13,2023-05-14,2023-05-21,7,1,0,Suite,Corporate,FR,284.9,0,0,5,5
BK000234,2022-12-05,2023-02-22,2023-03-05,11,2,0,Deluxe,OTA,UK,192.65,0,0,1,3.5
BK000235,2025-01-24,2025-04-12,2025-04-17,5,1,0,Standard,Travel_Agent,CH,119.14,3,0,3,4.1
BK000236,2023-02-11,2023-06-16,2023-06-25,9,3,0,Standard,Travel_Agent,ES,189.43,0,0,7,4.7
BK000237,2024-02-19,2024-04-05,2024-04-10,5,1,0,Suite,OTA,UK,269.08,0,0,0,4.1
BK000238,2024-12-19,2025-05-07,2025-05-16,9,1,0,Standard,Direct,UK,116.2,0,0,0,4.1
